,unique_values,counts
1041,5th Avenue,27
1042,Miami International Airport,27
1043,Donbás,27
1044,Oregon Avenue,27
1045,Bridesburg,27
1046,Homelander,27
1047,Monaco,27
1048,Indigenous,27
1049,New York City's,27
1050,Strickland,26
1051,Margate,26
1052,Powerball,26
1053,Northern Ireland,26
1054,Johnstown,26
1055,Shannon,26
1056,Hamburg,26
1057,Kamara,26
1058,Scottsdale,26
1059,Alphabet,26
1060,Evita,26
1061,West Deptford,26
1062,BG,26
1063,Ind.,26
1064,Bridgeton,26
1065,Guyana,26
1066,The City,26
1067,Sutherland Springs,26
1068,West Kensington,26
1069,Central Avenue,26
1070,Bethany Beach,26
1071,Heriberto,26
1072,Zendaya,26
1073,the Eastern Conference,26
1074,LAS VEGAS,26
1075,Constanza,26
1076,Tyrese Maxey,26
1077,Metro Atlanta,26
1078,the NL East) Philadelphia,26
1079,POTTSTOWN,26
1080,Collegeville,26
1081,East Stroudsburg,26
1082,Nogales,26
1083,the Brooklyn Nets,26
1084,Cape Cod,26
1085,Route 1,26
1086,Saturdays,26
1087,NEW JERSEY,26
1088,Rio de Janeiro,25
1089,Yankee Stadium,25
1090,Oklahoma City Thunder,25
1091,Fairfield,25
1092,Kissimmee,25
1093,Lawrence,25
1094,Geneva,25
1095,Cherry Street,25
1096,Washington Square West,25
1097,Ann Arbor,25
1098,Querétaro,25
1099,Chihuahua,25
1100,Rwanda,25
1101,Filbert Street,25
1102,Fiji,25
1103,Agnes,25
1104,Washington County,25
1105,Mecca,25
1106,Pereira,25
1107,Fanta,25
1108,Seraphina,25
1109,Annapolis,25
1110,South Jersey’s,25
1111,the east coast,25
1112,Singh,25
1113,Sampson,25
1114,Luzerne County,25
1115,Wrestlemania,25
1116,Bellmawr,25
1117,Schuylkill County,25
1118,Macron,25
1119,LinkedIn,25
1120,Southeast,25
1121,2nd Street,25
1122,Carbon County,25
1123,Bumble,25
1124,Franklin Field,25
1125,Ithaca,25
1126,San Mateo,25
1127,Berks,25
1128,Ocean County,24
1129,Belinda,24
1130,OCEAN CITY,24
1131,Clarkston,24
1132,50th Street,24
1133,Beaver County,24
1134,Duncanville,24
1135,Bexar County,24
1136,United Arab Emirates,24
1137,Crittenden Street,24
1138,Drexel Hill,24
1139,A.C.,24
1140,Pinellas County,24
1141,Concord,24
1142,Vereen,24
1143,Fremont,24
1144,Pennsauken,24
1145,Sina,24
1146,Radnor Township,24
1147,Torresdale Avenue,24
1148,Sansom Street,24
1149,Little Rock,24
1150,Warren,24
1151,Macao,24
1152,Gaza,24
1153,Styles,24
1154,NASCAR,24
1155,Stone Harbor,24
1156,Reva,24
1157,Greensboro,24
1158,Raleight,24
1159,Regina,24
1160,La Villita,24
1161,Kabul,24
1162,Point Breeze,24
1163,Fashion District,24
1164,Prudente,24
1165,NEW YORK CITY,24
1166,Middle Township,24
1167,Bala Cynwyd,24
1168,I-295,24
1169,Olivia,24
1170,Montgomery County’s,24
1171,Oxford,24
1172,Nathan,24
1173,Spruce Street,23
1174,Center City Philadelphia,23
1175,Passyunk Avenue,23
1176,the Upper East Side,23
1177,Forsythia,23
1178,Stephenville,23
1179,Sturgis,23
1180,Eastern Pennsylvania,23
1181,Independence,23
1182,Exton,23
1183,Baltimore County,23
1184,McPherson Square,23
1185,Trump,23
1186,Donetsk,23
1187,Vine Street,23
1188,Johannesburg,23
1189,Race Street Pier,23
1190,West Fairmount Park,23
1191,Maricopa County,23
1192,Bridgeport,23
1193,Prison,23
1194,Vans,23
1195,Linden Avenue,23
1196,Broad Street Line,23
1197,Pima County,23
1198,Arredondo,23
1199,Odufuwa,23
1200,Birnbaum,23
1201,Volusia County,23
1202,Beach Haven,23
1203,Grant Park,23
1204,Atkinson,23
1205,Caguas,23
1206,Disneyland,23
1207,Beatles,23
1208,Zacatecas,23
1209,Billy Ocean,23
1210,Wissahickon Valley Park,23
1211,Puerto Rico’s,23
1212,Music,23
1213,D-Va.,23
1214,Coney Island,23
1215,Cali,23
1216,the William Way LGBT Community Center,23
1217,Mall,23
1218,Park,23
1219,Carolinas,23
1220,Guanajuato,23
1221,Grant Avenue,23
1222,Nepal,22
1223,Serbia,22
1224,Wissahickon Avenue,22
1225,the Atlanta Braves,22
1226,the Southern District,22
1227,Concacaf,22
1228,Tyler,22
1229,Bucks County’s,22
1230,Oldenburg,22
1231,Bananas,22
1232,Subway,22
1233,FLORIDA,22
1234,30th Street,22
1235,Bethany,22
1236,Bristol Street,22
1237,Santa Cruz,22
1238,Eagle Pass,22
1239,Napa County,22
1240,the Schuylkill Expressway,22
1241,Cooperstown,22
1242,Cannes,22
1243,Czechoslovakia,22
1244,Diamondbacks,22
1245,Westmoreland County,22
1246,Lollapalooza,22
1247,Marina,22
1248,Interstate 95,22
1249,Troiano,22
1250,Sara,22
1251,Fort Washington,22
1252,Shuri,22
1253,East Rutherford,22
1254,Madness,22
1255,Maskwacis,22
1256,Juniata,22
1257,Shabazz,22
1258,Boise,22
1259,KYIV,22
1260,Verizon Hall,22
1261,West Mt. Airy,22
1262,Pamplona,22
1263,Alameda County,22
1264,Durham,22
1265,SS,22
1266,Lower Township,22
1267,Paoli,22
1268,42nd Street,21
1269,Chabad,21
1270,Yolanda,21
1271,Palm Beach,21
1272,Quinn Sullivan,21
1273,Process,21
1274,Mountain View,21
1275,MA,21
1276,washington,21
1277,San Salvador,21
1278,Chad,21
1279,Hemberger Street,21
1280,8th Street,21
1281,the State of Mexico,21
1282,Hall,21
1283,West Philly’s,21
1284,Dallas Love Field,21
1285,Belmont Avenue,21
1286,Washington Heights,21
1287,East Tioga Street,21
1288,Roe,21
1289,East Africa,21
1290,Heathrow,21
1291,Monroe County,21
1292,Santa,21
1293,Munich,21
1294,Los Angeles Dodgers,21
1295,Klaproth,21
1296,Pine Street,21
1297,Breakfast,21
1298,the Avenue of the Arts,21
1299,Mina,21
1300,the Miami International Airport,21
1301,Bosnia,21
1302,Bartram’s Garden,21
1303,Coughlin,21
1304,Belle,21
1305,Weston,21
1306,Yantakhao,21
1307,Virginia Tech,21
1308,Fulton,21
1309,Heights,21
1310,Paloma,21
1311,East London,20
1312,Brittney,20
1313,West Philadelphia’s,20
1314,the Atlantic City Convention Center,20
1315,Mobile,20
1316,Namor,20
1317,Osterholm,20
1318,Lake,20
1319,Jefferson County,20
1320,mango,20
1321,OBDII,20
1322,Greenwich Village,20
1323,Tamary,20
1324,Toms River,20
1325,Vierling,20
1326,Ocala,20
1327,Santa Rosa,20
1328,El Alfa,20
1329,Ozark,20
1330,Gloucester Township,20
1331,the Cherry Street Pier,20
1332,Crescentville,20
1333,Murphy,20
1334,Mount Airy,20
1335,Foxborough,20
1336,Carlin,20
1337,Gastón Heredia,20
1338,Starkey,20
1339,Angola,20
1340,Healy,20
1341,North Carolina’s,20
1342,Lansdowne,20
1343,Limbo,20
1344,Highland Avenue,20
1345,Tower,20
1346,Sievierodonetsk,20
1347,Mullica,20
1348,Thunder,20
1349,Kingery,20
1350,Salzburg,20
1351,Conklin,20
1352,Valley Green Road,20
1353,Frankfurt,20
1354,Trail,20
1355,Osteria,20
1356,Kyrie,20
1357,St. Joe's,20
