,unique_values,counts
2575,Horford,10
2576,Upper Chichester Township,10
2577,Affleck,10
2578,Crown Heights,10
2579,Soweto,10
2580,Matteo,10
2581,FDR Park’s,10
2582,Samantha,10
2583,West Grove,10
2584,Altuve,10
2585,the Canary Islands,10
2586,Mejía,10
2587,Central Africa,10
2588,Delaware Avenue,10
2589,Chester Avenue,10
2590,Darby Creek,10
2591,Operation Lone Star,10
2592,Buist Avenue,10
2593,Hamilton Township,9
2594,the Atlantic Region,9
2595,the Robb Elementary school,9
2596,Brennan,9
2597,Excursion Park,9
2598,Herndon,9
2599,miami,9
2600,the Pittsburgh Pirates,9
2601,PRC,9
2602,Umbrellas,9
2603,Busch Stadium,9
2604,Humacao,9
2605,USGA,9
2606,Pennsbury,9
2607,HONG KONG,9
2608,the Tops Friendly Market,9
2609,Leesburg,9
2610,Stamford,9
2611,Headhouse Square,9
2612,Puerto Escondido,9
2613,Riyadh,9
2614,Palm Springs,9
2615,Hampton,9
2616,Songs,9
2617,Beresin,9
2618,Wesley,9
2619,Locust,9
2620,Bradford,9
2621,Highland Street,9
2622,Painted Bride,9
2623,BlackStar,9
2624,the Duncanville Fieldhouse,9
2625,Upper Macungie Township,9
2626,the Center City,9
2627,Pasadena Road,9
2628,Harrison Township,9
2629,Bervell,9
2630,the North Carolina,9
2631,Buchanan County,9
2632,Seagulls,9
2633,Healthy Garden Cafe,9
2634,Haddon Avenue,9
2635,Bruen,9
2636,Lisichansk,9
2637,Eliana,9
2638,Appleton,9
2639,Montecito,9
2640,Killing,9
2641,Harrowgate Park,9
2642,Henon,9
2643,Winter Park,9
2644,Luxembourg,9
2645,Stroudsburg,9
2646,J.D.,9
2647,Simi Valley,9
2648,Gronk,9
2649,Bellevue,9
2650,Prince George County,9
2651,Miramar,9
2652,Bengal,9
2653,Nationals Park,9
2654,Town,9
2655,Corpus Christi,9
2656,Martha Street,9
2657,the Stadium District,9
2658,Borrero,9
2659,Grove City,9
2660,Oval,9
2661,Healthline,9
2662,the West District,9
2663,Key Glock,9
2664,Wheat Ridge,9
2665,SAN JOSE,9
2666,SoFi Stadium,9
2667,Scenery Park,9
2668,Cutler Bay,9
2669,Ewing,9
2670,Wired,9
2671,the Clay Studio,9
2672,Lake George,9
2673,Jenin,9
2674,Sporting,9
2675,the Washington Avenue Repaving and Improvement Project,9
2676,Bassetts,9
2677,Fort Bles,9
2678,the Golden Nugget,9
2679,Drexel Square,9
2680,the San Francisco Bay,9
2681,Zambada,9
2682,the San Francisco International Airport,9
2683,Isle City,9
2684,Temprano,9
2685,Nicodemus,9
2686,Coconino County,9
2687,Ferreira,9
2688,South Orange,9
2689,Lubbock,9
2690,Ebola,9
2691,West Philadelphia High School,9
2692,Englewood,9
2693,Sanger,9
2694,West Baltimore,9
2695,Tottenham,9
2696,Millersville,9
2697,JILLY,9
2698,Atlantic Counties,9
2699,Ballotpedia,9
2700,Fenway Park,9
2701,Parkside Avenue,9
2702,Lawndale,9
2703,Darick Hall,9
2704,Dayton,9
2705,Mural City Cellars,9
2706,Balenciaga,9
2707,Trenton Avenue,9
2708,Monterey,9
2709,PARIS,9
2710,Larimer County,9
2711,Durango,9
2712,Edinboro,9
2713,The City of Brotherly Love,9
2714,New Mexico State,9
2715,Redding,9
2716,Metallica,9
2717,League Island Boulevard,9
2718,Emlen Street,9
2719,Strip,9
2720,Ponce,9
2721,Osceola Street,9
2722,Craines,9
2723,Saylor,9
2724,the Oval XP,9
2725,Rockaway Beach,9
2726,Medford Township,9
2727,PA Cyber,9
2728,East 95th Street,9
2729,the Jersey Boys,9
2730,Hudson Valley,9
2731,South Brunswick,9
2732,east Jerusalem,9
2733,Casper,9
2734,the Hollywood Bowl,9
2735,América,9
2736,Lewisville,9
2737,Haven,9
2738,Lindsay,9
2739,Aguascalientes,9
2740,SAN JUAN,9
2741,Adam Warlock,9
2742,Slovakia,9
2743,Lehigh Valley IronPigs,9
2744,69th Street,9
2745,Westmont,9
2746,Hance,9
2747,Rebirth Island,9
2748,Spring Lake,9
2749,The Philadelphia Citizen,9
2750,Yuma County,9
2751,Grindr,9
2752,Trattoria,9
2753,the Ohio Valley,9
2754,Metropolitan,9
2755,Waukegan,9
2756,the San Francisco,9
2757,Yuba County,9
2758,TORONTO,9
2759,Lewes,9
2760,7th Street,9
2761,the Roosevelt Boulevard,9
2762,Selma,9
2763,Los Angeles FC,9
2764,College Park,9
2765,Penn,9
2766,Hard Rock Atlantic City,9
2767,Vásquez,9
2768,St. Thomas,9
2769,St. Joseph,9
2770,Juneau,9
2771,Reggaeton,9
2772,the Orlando International Airport,9
2773,Gatesville,9
2774,Vale,9
2775,Ewing Township,9
2776,the Historic District,9
2777,Laurel Hill East,9
2778,School District,9
2779,U.S.A.,9
2780,Auschwitz,9
2781,the Wharton State Forest,9
2782,Prague,9
2783,Hugo Chávez,9
2784,Pflugerville,9
2785,Nestle,9
2786,Livingston,9
2787,Burbank,9
2788,Beaty,9
2789,Webb County,9
2790,East Boston,9
2791,Trump Tower,9
2792,Ankara,9
2793,Skip Bayless,9
2794,West Lancaster Avenue,9
2795,Summit Avenue,9
2796,Amada,9
2797,Nikolas Cruz,9
2798,Jasmin,9
2799,Matamoros,9
2800,Hinton,9
2801,Perry,9
2802,Lockwood,9
2803,Roosevelt Blvd,9
2804,Flyers,9
2805,Acevedo,9
2806,Ardleigh Street,9
2807,us,9
2808,BIRT,9
2809,Xochitl,9
2810,Macedo,9
2811,Rennard Street,9
2812,Dickinson Street,9
2813,the Crimean Peninsula,9
2814,Perris,9
2815,Delco,9
2816,South Philadelphia's,9
2817,Green Bay Packers,9
2818,Latine,9
2819,Littleton,9
2820,the Lone Star,9
2821,Tatiana,9
2822,Plano,9
2823,the South Vaulted Walkway,9
2824,the Montgomery County,9
2825,Santa Teresa,9
2826,New York Islanders,9
2827,Deer Park,9
2828,the Lehigh River,9
2829,nova,9
2830,Drew,9
2831,Lovett Park,9
2832,Prospero,9
2833,Barnes,9
2834,El Chavo,9
2835,Messi,9
2836,the King of Prussia Mall,9
2837,Loving,9
2838,Nas,9
2839,the Rail Park,9
2840,MLS-101,9
2841,Factchequeado,9
2842,Ogden,9
2843,Ximena,9
2844,Oval XP,9
2845,Lindenwold,9
2846,Menlo Park,9
2847,Dickey,9
2848,Round 2,9
2849,Main Street Marketplace,9
2850,Hostin,9
2851,Marinus,9
2852,AMERICA,9
2853,Diamond,9
2854,North Dakota’s,9
2855,new york,9
2856,reggaeton,9
2857,Columbus Boulevard,9
2858,Bergamo,9
2859,Marin County,9
2860,Forest County,9
2861,Sylmar,9
2862,Midnight,9
2863,the Colonial Theatre,9
2864,GEORGIA,9
2865,San Vicente,9
2866,South California,9
2867,Biggs,9
2868,Tiananmen Square,9
2869,Dibbs,9
2870,Ventnor Avenue,9
2871,Secaucus,9
2872,CERN,9
2873,Lake County State’s,9
2874,Woodson,9
2875,TAMPA,8
2876,Jakarta,8
2877,Radiant Summer Splendor,8
2878,Newark International Airport,8
2879,Congregation Rodeph Shalom,8
2880,Largest City,8
2881,Punta Cana,8
2882,MIAMI,8
2883,Inter Miami,8
2884,the Annenberg Center,8
2885,the Second District,8
2886,Greenland,8
2887,Stairway,8
2888,Philadelphia Highway Patrol,8
2889,Koreas,8
2890,Doogs,8
2891,Quarryville,8
2892,Tacko,8
2893,Seminole County,8
2894,Kyrgyzstan,8
2895,midwest,8
2896,the Robb Primary,8
2897,the Eastern Shore,8
2898,the Cayman Islands,8
2899,Valenzuela,8
2900,Davis County,8
2901,St. Joe’s Prep,8
2902,Hardin,8
2903,Sheeran,8
2904,León,8
2905,Beirut,8
2906,Yuba,8
2907,the William Way Center,8
2908,boycotts,8
2909,N.M.,8
2910,Titan,8
2911,kinda,8
2912,Hillel,8
2913,Author,8
2914,Albania,8
2915,Harbaugh Village,8
2916,Universal,8
2917,Greenwood Park Mall,8
2918,Academy Park High School,8
2919,East Palo Alto,8
2920,the City Hall,8
2921,Hyde Park,8
2922,T.B.,8
2923,Mangold,8
2924,Orlando Arcia,8
2925,Strand,8
2926,Victorville,8
2927,Aidvantage,8
2928,Krishnan,8
2929,Swahili,8
2930,Minnich,8
2931,Valeria,8
2932,Moreno Valley,8
2933,Camila,8
2934,Pompano Beach,8
2935,cyanobacteria,8
2936,Oak Park,8
2937,Katierose,8
2938,Wakanda,8
2939,Dnipropetrovsk,8
2940,Moss Point,8
2941,Frankford Creek,8
2942,Chicagoland,8
2943,Adams Street,8
2944,Franco,8
2945,the Webb Telescope,8
2946,Arctic,8
2947,Mayfield,8
2948,Douglas County,8
2949,Aaronson,8
2950,APD Homicide,8
2951,Eastern District,8
2952,the Pennsylvania Convention Center,8
2953,Veracruzana,8
2954,Rochelle,8
2955,Puebla,8
2956,West Valley,8
2957,Woodland Hills,8
2958,Fort Pierce,8
2959,La Paz,8
2960,the Hard Rock Hotel and Casino,8
2961,Antigua,8
2962,Thalía,8
2963,the Azov Sea,8
2964,the Memphis Grizzlies,8
2965,Polari,8
2966,Kenemore,8
2967,Tripadvisor,8
2968,the Pennsylvania Capitol,8
2969,Wolcott Drive,8
2970,Chicago City Hall,8
2971,Vera,8
2972,León County,8
2973,Sand Island,8
2974,Park City,8
2975,Puerto Rico.-,8
2976,Larchwood Avenue,8
2977,Bedminster,8
2978,Pastorius Park Summer Concerts,8
2979,ohio,8
2980,Western,8
2981,Bucks County District,8
2982,SAVANNAH,8
2983,Old York Road,8
2984,De Niro,8
2985,Rivera,8
2986,El Dorado County,8
2987,West Chester's,8
2988,Seaside Heights,8
2989,Harper,8
2990,Mateo,8
2991,Aspen Street,8
2992,Steichen,8
2993,Ndlela,8
2994,Brauhaus Schmitz,8
2995,Paramount+,8
2996,Waterloo,8
2997,3rd Congressional District,8
2998,Shannon de Lima,8
2999,Poston,8
3000,Westville,8
3001,Pasco,8
3002,Brooksville,8
3003,Munoz,8
3004,Comly Street,8
3005,Downey,8
3006,Mo Brooks of Alabama,8
3007,Winslow Township,8
3008,Esperanza,8
3009,ARS Brewery ARS,8
3010,the Whole-Home Repairs Program,8
3011,Westchester,8
3012,Palumbo Park,8
3013,MENDON,8
3014,the Burlington County Jail,8
3015,Fort Bend County,8
3016,Geico,8
3017,Bosnia and Herzegovina,8
3018,the Hubble Space Telescope,8
3019,Kawasaki,8
3020,Lower Oxford Township,8
3021,Galapagos,8
3022,NM,8
3023,Zerboni,8
3024,Round Lake Beach,8
3025,Brentwood,8
3026,North Highlands Fire,8
3027,Pokrovsk,8
3028,Westchester County,8
3029,IRGC,8
3030,East Bradford Township,8
3031,Crime,8
3032,Cárdenas,8
3033,Capulhuac,8
3034,South Bend,8
3035,the Eastern Pacific,8
3036,Saying,8
3037,Columbus Square,8
3038,Boomerang,8
3039,CSA,8
3040,Dulles,8
3041,Rasheed Wallace Road,8
3042,El Jarocho,8
3043,Imperioli,8
3044,the Camden County Prosecutor’s Office,8
3045,Sparta,8
3046,Ultium,8
3047,New Castle Avenue,8
3048,Halcyon Drive,8
3049,Macario,8
3050,Calif,8
3051,East Johnson Street,8
3052,garlicky,8
3053,Tyler State Park,8
3054,Napa,8
3055,Andre Dillard,8
3056,Achieve,8
3057,Essence,8
3058,Bainbridge Street,8
3059,Shenzhen,8
3060,W,8
3061,Elizabeth,8
3062,Loudmouth,8
3063,Canal Park,8
3064,Arlington National Cemetery,8
3065,Kirby,8
3066,Stoltenberg,8
3067,French Creek,8
3068,Trolley Modernization,8
3069,41st Street,8
3070,Marshall Road,8
3071,Union County,8
3072,the Main Line,8
3073,Sophia,8
3074,HIGHLAND PARK,8
3075,Stargazy,8
3076,Eastern European,8
3077,Jackson County,8
3078,@amyrosenberg,8
3079,Atlético,8
3080,Ortley Beach,8
3081,Francisville,8
3082,Glenside,8
3083,Davenport,8
3084,Klemt,8
3085,demagorgon,8
3086,Romina,8
3087,Schuylkill River Trail,8
3088,GLSEN,8
3089,University City’s,8
3090,Jiříček,8
3091,Hobbs,8
3092,Severodvinsk,8
3093,the Hockey Hall of Fame,8
3094,Brady,8
3095,Council District,8
3096,Main,8
3097,Bennetts,8
3098,Yugoslavia,8
3099,Smart,8
3100,North Darien Street,8
3101,José,8
3102,Uzbekistan,8
3103,RI,8
3104,Seymour,8
3105,Tabu,8
3106,La Guagua,8
3107,West Philadelphia Skills Initiative,8
3108,Tired Hands,8
3109,Nairobi,8
3110,Anastasia,8
3111,Citizen Bank Park,8
3112,west,8
3113,Gulf of Mexico,8
3114,Children,8
3115,Pizzeria Beddia,8
3116,Green City,8
3117,Vizcarra,8
3118,Cobbs Creek’s,8
3119,Drysdale,8
3120,Slovenia,8
3121,West Virginia’s,8
3122,the Gaza Strip,8
3123,Neuronetics,8
3124,DEWEY BEACH,8
3125,Route 15,8
3126,Zurich,8
3127,Nature,8
3128,the Mercer County Homicide Task Force,8
3129,Cambria,8
3130,Moab,8
3131,Calaveras County,8
3132,Modern,8
3133,Tip Parallel,8
3134,Mayfair,8
3135,Flourtown,8
3136,Leary,8
3137,Blacksburg,8
3138,georgia,8
3139,Napa Valley,8
3140,Ogontz Avenue,8
3141,Mexico City - Mexican,8
3142,El,8
3143,CAMDEN COUNTY,8
3144,Chestnut Street•,8
3145,African America,8
3146,Penn Avenue,8
3147,Montour County,8
3148,Bradford County,8
3149,Sullivan County,8
3150,South St,8
3151,34th Street,8
3152,Tania,8
3153,Manhattan Beach,8
3154,West Norriton,8
3155,Guggina,8
3156,Knapp,8
3157,Morristown,8
3158,the Historic Hotel Bethlehem,8
3159,Brookhaven,8
3160,4th Street Delicatessen,8
3161,Cardona,8
3162,Riverview Plaza,8
3163,Aponte,8
3164,the George R. Brown Convention Center,8
3165,California City,8
3166,Chester County's,8
3167,Hague,8
3168,the Museum of the American Revolution,8
3169,Brewery Hill,8
3170,Pittsburg,8
3171,Edgely Field,8
3172,Kyhara,8
3173,El Merkury,8
3174,Cedar Avenue,8
3175,Columbus Square Park,8
3176,East Cheltenham Avenue,8
3177,Zambia,8
3178,East Luzerne Street,8
3179,West Girard Avenue,8
3180,Vernon Park,8
3181,Putin,8
3182,Fulbright,8
3183,Route 611,8
3184,South Lake Tahoe,8
3185,Elizabeth City,8
3186,Chat,8
3187,Ventnor,8
3188,Lake Travis,8
3189,Potomac,8
3190,Hall County,8
3191,the Dorset Avenue Bridge,8
3192,Ariyana,8
3193,Mayrín Villanueva,8
3194,DCF,8
3195,Jones Beach,8
3196,Griswold,8
3197,Spruce,8
3198,Elliger Park,8
3199,bingo,8
3200,Truth,8
3201,Long Island City,8
3202,Camden County’s,8
3203,Route 8,8
3204,LPL,8
3205,the Pocono Mountains,8
3206,SAN ANTONIO,8
3207,Esq,8
3208,Cassell,8
3209,Ocean City's,8
3210,Cousin,8
3211,Kamasi,8
3212,Cupertino,8
3213,Vine Street Expressway,8
3214,Wong,8
3215,Brigantine,8
3216,Miami Heat,8
3217,Vagos,7
3218,Paradise,7
3219,Hedgerow,7
3220,Aberdeen,7
3221,Burnet,7
3222,Beltran,7
3223,the Philly Bar and Restaurant,7
3224,Understand,7
3225,Silver,7
3226,Hilco,7
3227,utensil,7
3228,Ruppsville Road,7
3229,FRESNO,7
3230,A Long Time,7
3231,Total,7
3232,Delhi,7
3233,Lashbrook,7
3234,Tuscaloosa,7
3235,Inside,7
3236,Wynnewood,7
3237,Midway,7
3238,Yalitza,7
3239,790 East Market St.,7
3240,the Red Sea,7
3241,Zhytomyr,7
3242,Mastercard,7
3243,Pietro,7
3244,Feltonville,7
3245,National Park,7
3246,Stotesbury,7
3247,South Vietnam,7
3248,Toronto Pearson International Airport,7
3249,Old Town,7
3250,Santulli,7
3251,N95,7
3252,Harvey,7
3253,Route 66,7
3254,Louis,7
3255,Catania,7
3256,Power Circle,7
3257,Arrott Street,7
3258,Wyncote,7
3259,Amado,7
3260,the Baseball Hall of Fame,7
3261,the Dallas Cowboys,7
3262,the Monaco Grand Prix,7
3263,Haddington Woods,7
3264,Virtual,7
3265,jersey,7
3266,South Asia,7
3267,Draghi,7
3268,North Philly’s,7
3269,East Liberty,7
3270,Pacers,7
3271,Plutarco Haza,7
3272,Marcy,7
3273,the American Republic,7
3274,Old City Eats,7
3275,the Old Bailey,7
3276,New Delhi,7
3277,Camden Yards,7
3278,Abandoned,7
3279,Sonora,7
3280,Bistro,7
3281,Turtle Island,7
3282,Leeds United,7
3283,JENKINTOWN,7
3284,Ariana,7
3285,the Atlantic Coast,7
3286,Visalia,7
3287,Bahri,7
3288,Underground Railroad,7
3289,North 7th Street,7
3290,Market St,7
3291,Milwaukee County,7
3292,Tangshan,7
3293,Maui,7
3294,Bednar,7
3295,FORT LAUDERDALE,7
3296,East Chelten Avenue,7
3297,the Golden Rule,7
3298,Sandy Sprint Sea,7
3299,Saudi Arabia's,7
3300,Titusville,7
3301,the Cobbs Creek Trail,7
3302,Macungie,7
3303,Lackawanna County,7
3304,Ganem,7
3305,French Creek State Park,7
3306,the Penn Medicine Lung Center,7
3307,West Fairmount,7
3308,San Rafael,7
3309,Misfits,7
3310,Campania,7
3311,Tyre Sampson,7
3312,Acetaminophen,7
3313,Boothwyn,7
3314,Subway Series,7
3315,Georgetown Law,7
3316,Putnam,7
3317,Bentley Avenue,7
3318,Huatulco,7
3319,Farmington,7
3320,Kings County,7
3321,West Johnson Street,7
3322,Palm Beach County,7
3323,Cooke City,7
3324,Boy Scout,7
3325,Everest,7
3326,Huntingdon County,7
3327,www.premiosjuventud.com/vota,7
3328,P.O.,7
3329,Bronzeville,7
3330,Herbig,7
3331,Rajamouli,7
3332,Fraud,7
3333,Venango,7
3334,USSR,7
3335,Noir,7
3336,"North, South",7
3337,Liam,7
3338,Brookline,7
3339,Xerta,7
3340,Waynesburg,7
3341,NORTH PHILADELPHIA,7
3342,the San José Galeon,7
3343,Hurricane,7
3344,Pleasant Hill Park Sponsored,7
3345,the Coliseum of Puerto Rico,7
3346,Hindi,7
3347,Yuba City,7
3348,Bremerton School District,7
3349,Black Lives Matter,7
3350,Cauca,7
3351,Independence National Park,7
3352,Hainesport,7
3353,North Columbus Boulevard,7
3354,Yeadon,7
3355,Resorts Casino,7
3356,Hela,7
3357,St. Nicholas of Tolentine,7
3358,the Cobbs Creek Golf Course,7
3359,Interstate 5,7
3360,Podraza,7
3361,Crawford,7
3362,texas,7
3363,the Las Vegas Strip,7
3364,Greene Street,7
3365,Algeria,7
3366,Mid-Atlantic,7
3367,63rd Street,7
3368,Washington Street,7
3369,the Penn Museum,7
3370,Listeria,7
3371,Penn Valley,7
3372,Avenue,7
3373,Montgomery county,7
3374,Taft,7
3375,Antioquia,7
3376,Wood Street,7
3377,Burma,7
3378,Lodi,7
3379,the Temple Mount,7
3380,North Bowl,7
3381,Scandinavia,7
3382,Nissan Stadium,7
3383,Giffords,7
3384,Montenegro,7
3385,Dickinson,7
3386,Khalifa,7
3387,Water Tower,7
3388,Philly.,7
3389,Woodbridge,7
3390,Zeppoli,7
3391,Ridgewood Street,7
3392,Galveston Bay,7
3393,Ramona,7
3394,Salvany,7
3395,Kleer,7
3396,Billings,7
3397,Wellington,7
3398,Northeast Avenue,7
3399,Short,7
3400,Deerfield,7
3401,Pixar,7
3402,Rucker Park,7
3403,Stina,7
3404,NHL,7
3405,Documenta,7
3406,Lincoln Highway,7
3407,Tacony,7
3408,West Wildwood,7
3409,Valeria Aponte,7
3410,Altoona,7
3411,the Middle District,7
3412,Cambria County,7
3413,Comly Road,7
3414,Gunn,7
3415,Bridgeville,7
3416,South Los Angeles,7
3417,Margate City,7
3418,the Farley Plaza,7
3419,superlluna,7
3420,North 17th Street,7
3421,Shippensburg,7
3422,Mojica,7
3423,Shishimarin,7
3424,UKRAINE,7
3425,Kuala Lumpur,7
3426,Mustafar,7
3427,Kong,7
3428,CV,7
3429,the Delaware River Basin,7
3430,Rory,7
3431,Fort Gordon,7
3432,Stanton,7
3433,Krakow,7
3434,Vail,7
3435,The Los Angeles County,7
3436,the Cape Fear River,7
3437,L,7
3438,New Orleans Saints,7
3439,Yavapai County,7
3440,Summerfest Open,7
3441,Central Jersey,7
3442,Strip District,7
3443,Singletary,7
3444,Ramstein Air Base,7
3445,Buckingham,7
3446,Turley,7
3447,St. Ephrem,7
3448,Lucasfilm,7
3449,Yekaterinburg,7
3450,Maluma,7
3451,Alpharetta,7
3452,W.Va.,7
3453,Huntington Valley,7
3454,Mumbai,7
3455,Baldwin Park,7
3456,68th Street,7
3457,Snooki,7
3458,Miami Marlins,7
3459,St. Louis County,7
3460,D-Ga.,7
3461,Elgin,7
3462,Bullseye Blast,7
3463,Schaumburg,7
3464,Keyes,7
3465,South Main Street,7
3466,East Glencrest Road,7
3467,Greenpoint,7
3468,Izakaya,7
3469,Woolwich Township,7
3470,Spruce Hill,7
3471,Yailin,7
3472,Dulles Airport,7
3473,Braca,7
3474,Judicial District,7
3475,Lake Lady Bird,7
3476,South Africa’s,7
3477,Hardena,7
3478,the Buckingham Palace,7
3479,East Lincoln Highway,7
3480,SF,7
3481,Chesterfield,7
3482,T.I.,7
3483,Czech Republic,7
3484,Kennedy,7
3485,Cobbs Creek Parkway,7
3486,Helena,7
3487,the South Pacific,7
3488,Southern Texas,7
3489,the Iberian Peninsula,7
3490,Judges,7
3491,Sneaker Ball,7
3492,Avalon,7
3493,Brea,7
3494,Jacobabad,7
3495,Mount Everest,7
3496,Club Level,7
3497,Sydenham Street,7
3498,Idorsia,7
3499,Newmark,7
3500,Upper Darby Township,7
3501,Lehigh County District,7
3502,the Los Angeles Clippers,7
3503,Radio City,7
3504,San Gabriel Valley,7
3505,the Mamie Nichols Center,7
3506,Pilates,7
3507,16th Street,7
3508,the Western District,7
3509,Love Island,7
3510,North Star,7
3511,Leaphart,7
3512,Passyunk Square,7
3513,Claudia,7
3514,1st District,7
3515,Lake Wallenpaupack,7
3516,Ganguli,7
3517,Lone Star,7
3518,Arsenal,7
3519,South Jersey's,7
3520,Washington Township High School,7
3521,Axios,7
3522,Tramontina,7
3523,Foxglove,7
3524,Alma,7
3525,Coeur d’Alene,7
3526,Sonoma Raceway,7
3527,Highland Park High School,7
3528,Amaya,7
3529,Castaway Cay,7
3530,Hockessin,7
3531,Kyoto,7
3532,Los Angeles Lakers,7
3533,Jackson Holliday,7
3534,Samara,7
3535,Jessi,7
3536,Spending,7
3537,Fayette County,7
3538,Forest Hill,7
3539,Stier,7
3540,the Motor City,7
3541,Bicentennial,7
3542,lifespan,7
3543,Pebble Beach,7
3544,Upper Darby High School,7
3545,Trujillo Alto,7
3546,El Chapo,7
3547,PW,7
3548,china,7
3549,La Botanica,7
3550,Mango,7
3551,the Mississippi River,7
3552,Hagerstown,7
3553,Crimean Peninsula,7
3554,the Great Lakes,7
3555,non-U.S.,7
3556,Deer Park Circle,7
3557,Metro Fire,7
3558,East Ontario Street,7
3559,South Bowl,7
3560,BS,7
3561,R0,7
3562,the Korean Peninsula,7
3563,Iron County,7
3564,Baker Street,7
3565,Stick,7
3566,Cumberland Street,7
3567,NE,7
3568,San Diego's,7
3569,Paterno,7
3570,Belize,7
3571,City Park,7
3572,The Proud Boys,7
3573,Pence,7
3574,Independence Seaport Museum,7
3575,juveniles,7
3576,Shara,7
3577,Worcester,7
3578,Cemetery,7
3579,Rodolfo,7
3580,Afromation Avenue,7
3581,Whittier,7
3582,San Gabriel,7
3583,Highland Park's,7
3584,Vought,7
3585,Duluth,7
3586,Angolan,7
3587,Volver,7
3588,Peddler’s Village,7
3589,the Greenwood Park Mall,7
3590,Jeurys Familia,7
3591,Gayan,7
3592,DE,7
3593,Washington D.C.’s,7
3594,Great Plaza,7
3595,the South District,7
3596,CARY,7
3597,Los Angeles Clippers,7
3598,Kutztown,7
3599,the State of Israel,7
3600,Melilla,7
3601,Debt,7
3602,Dorchester County,7
3603,Fort Lee,7
3604,South Central Avenue,7
3605,West Orange,7
3606,Douglas,7
3607,McGowan,7
3608,Univision34,7
3609,Kelce,7
3610,Mazatlan,7
3611,Queen Creek,7
3612,Amesbury,7
3613,Abuja,7
3614,Western Avenue,7
3615,Jokic,7
3616,Oildale,7
3617,Bloomington,7
3618,the Delmarva Peninsula,7
3619,Kinsey,7
3620,Hennepin County,7
3621,Hearthside,7
3622,the Welcome Center,7
3623,Darius Garland,7
3624,Chino Hills,7
3625,Huntingdon,7
3626,Missuri,7
3627,Dakota del Sur,7
3628,the Lower East Side,7
3629,Hudson County,7
3630,the Franklin Square Fountain Show,7
3631,Nusslein,7
3632,East Harlem,7
3633,Elizabethtown,7
3634,the City of Camden,7
3635,the Soundwaves Theatre,7
3636,Wings Field,7
3637,The Hague,7
3638,Route 29,7
3639,Montréal,7
3640,Bryant Donham,7
3641,East Girard Avenue,7
3642,Sri Lanka’s,6
3643,Bader Field,6
3644,Hennessey,6
3645,Hidden City,6
3646,54th Street,6
3647,the National Palace,6
3648,Cottman Avenue,6
3649,Saunders Park,6
3650,Foltz,6
3651,Jackson International Airport,6
3652,Northampton,6
3653,Wexford,6
3654,New Port Richey,6
3655,Zahara,6
3656,South Pacific,6
3657,Elkton,6
3658,Lemon.io,6
3659,Moon,6
3660,Mifflin Street,6
3661,Upper Chichester,6
3662,the Central District,6
3663,the Javari Valley,6
3664,Woodland Avenue,6
3665,New England’s,6
3666,Maddox,6
3667,Consequence,6
3668,Ardmore Music Hall,6
3669,North Hollywood,6
3670,Breathitt County,6
3671,Mt. Airy Day,6
3672,Roosevelt Avenue,6
3673,Kapolei,6
3674,the Southern Hemisphere,6
3675,Rodríguez Orejuela,6
3676,the Middle Atlantic,6
3677,Muehleck,6
3678,Sixers,6
3679,Kratom,6
3680,cheddar,6
3681,Bingham Street,6
3682,Callahan,6
3683,Hartsfield-Jackson International Airport,6
3684,Wyden,6
3685,Southern Alleghenies,6
3686,Marc,6
3687,BOSTON,6
3688,Westfield,6
3689,Eagle Scout,6
3690,Selina,6
3691,Melrose Park,6
3692,SOUTH KOREA,6
3693,Alrighty,6
3694,Latin Grammy,6
3695,Mount Vesuvius,6
3696,the “East Side,6
3697,Kassie,6
3698,Gabriella,6
3699,Middle Eastern,6
3700,Coulter Avenue,6
3701,Snake River,6
3702,Canyon Atlantic,6
3703,Mujica,6
3704,Rosemont,6
3705,the Pro Bowl,6
3706,Airport,6
3707,State Street,6
3708,OH,6
3709,Ingrid Coronado,6
3710,covid-19,6
3711,Sunset Beach,6
3712,Cape May’s,6
3713,Battleship,6
3714,CA,6
3715,Alexus Mercedes Pedraza,6
3716,Coastal Carolina,6
3717,Logan Airport,6
3718,Hissam,6
3719,Norcross,6
3720,the George W. Hill Correctional Facility,6
3721,Bay City,6
3722,the United States Sheriff Service,6
3723,Brown Street,6
3724,10 East 64th Street,6
3725,Loyola,6
3726,Miranda,6
3727,Grassy Sound Marina,6
3728,El Vez,6
3729,West Sacramento,6
3730,Gardenia,6
3731,Nagasaki,6
3732,Tryko,6
3733,Chilindrina,6
3734,Gironde,6
3735,Grassy Island,6
3736,St. Babs,6
3737,Jrue Holiday,6
3738,the Barack Obama-Hillary Rodham Clinton,6
3739,Hart,6
3740,Fleet Street,6
3741,Theta,6
3742,Leverington Avenue,6
3743,Fields,6
3744,ABBOTT,6
3745,the Kennedy Space Center,6
3746,Communities,6
3747,Lake Shore Drive,6
3748,Emilia,6
3749,Island Avenue,6
3750,Kenia,6
3751,Elk Grove,6
3752,NR4QT,6
3753,Cira Centre,6
3754,The City of Philadelphia’s,6
3755,Politico,6
3756,the Lake Eola Park,6
3757,CANADA,6
3758,Chester Heights,6
3759,The Sea,6
3760,North Las Vegas,6
3761,Pepsico,6
3762,the Rocky Mountains,6
3763,Festival Pier,6
3764,North America’s,6
3765,the Movistar Arena,6
3766,Photo,6
3767,Robbinsville,6
3768,the Big City,6
3769,La Gabi,6
3770,Tibet,6
3771,I-676,6
